不成功便成仁	bu cheng gong bian cheng ren
不打不成器	bu da bu cheng qi
不打不成才	bu da bu cheng cai
不打不成相识	bu da bu cheng xiang shi
不打不相识	bu da bu xiang shi
不拘小节	bu ju xiao jie
不撞南墙不回头	bu zhuang nan qiang bu hui tou
不敢恭维	bu gan gong wei
不敢自专	bu gan zi zhuan
不敢苟同	bu gan gou tong
不明不白	bu ming bu bai
不明事理	bu ming shi li
不是一家人不进一家门	bu shi yi jia ren bu jin yi jia men
不是冤家不聚头	bu shi yuan jia bu ju tou
不是鱼死就是网破	bu shi yu si jiu shi wang po
不显山不露水	bu xian shan bu lu shui
不毛之地	bu mao zhi di
不求有功但求无过	bu qiu you gong dan qiu wu guo
不求甚解	bu qiu shen jie
不理不睬	bu li bu cai
不甘人后	bu gan ren hou
不甘后人	bu gan hou ren
不甘示弱	bu gan shi ruo
不由自主	bu you zi zhu
不畏强暴	bu wei qiang bao
不畏强权	bu wei qiang quan
不疾不徐	bu ji bu xu
不痛不痒	bu tong bu yang
不看僧面看佛面	bu kan seng mian kan fo mian
不眠不休	bu mian bu xiu
不瞅不睬	bu chou bu cai
不知丁董	bu zhi ding dong
不知不觉	bu zhi bu jue
不知好歹	bu zhi hao dai
不知所以	bu zhi suo yi
不知所措	bu zhi suo cuo
不知所终	bu zhi suo zhong
不知死活	bu zhi si huo
不知轻重	bu zhi qing zhong
不知进退	bu zhi jin tui
不祥之兆	bu xiang zhi zhao
不离不弃	bu li bu qi
不管不顾	bu guan bu gu
不紧不慢	bu jin bu man
不约而同	bu yue er tong
不经一事不长一智	bu jing yi shi bu zhang yi zhi
不胜其苦	bu sheng qi ku
不自量力	bu zi liang li
不蒸馒头争口气	bu zheng man tou zheng kou qi
不虚此行	bu xu ci xing
不要在一棵树上吊死	bu yao zai yi ke shu shang diao si
不见不散	bu jian bu san
不见兔子不撒鹰	bu jian tu zi bu sa ying
不见天日	bu jian tian ri
不见棺材不落泪	bu jian guan cai bu luo lei
不见经传	bu jian jing zhuan
不言不语	bu yan bu yu
不言而喻	bu yan er yu
不言自明	bu yan zi ming
不计其数	bu ji qi shu
不让须眉	bu rang xu mei
不识大体	bu shi da ti
不识好歹	bu shi hao dai
不识庐山真面目	bu shi lu shan zhen mian mu
不识时务	bu shi shi wu
不识时变	bu shi shi bian
不识泰山	bu shi tai shan
不识高低	bu shi gao di
不负众望	bu fu zhong wang
不败之地	bu bai zhi di
不足为外人道	bu zu wei wai ren dao
不足为奇	bu zu wei qi
不足为怪	bu zu wei guai
不足挂齿	bu zu gua chi
不辨菽麦	bu bian shu mai
不过如此	bu guo ru ci
不过尔尔	bu guo er er
不近人情	bu jin ren qing
不速之客	bu su zhi ke
不遑多让	bu huang duo rang
不遗余力	bu yi yu li
不避斧钺	bu bi fu yue
不醉不归	bu zui bu gui
不问青红皂白	bu wen qing hong zao bai
不闻不问	bu wen bu wen
不顾一切	bu gu yi qie
不顾前后	bu gu qian hou
与世俯仰	yu shi fu yang
与世无争	yu shi wu zheng
与世隔绝	yu shi ge jue
与人方便自己方便	yu ren fang bian zi ji fang bian
与众不同	yu zhong bu tong
与全世界为敌	yu quan shi jie wei di
与日俱进	yu ri ju jin
与日同辉	yu ri tong hui
与狐谋皮	yu hu mou pi
与虎谋皮	yu hu mou pi
丑妻近地家中宝	chou qi jin di jia zhong bao
专心致志	zhuan xin zhi zhi
专美于前	zhuan mei yu qian
世代相传	shi dai xiang chuan
世态炎凉	shi tai yan liang
世风日下	shi feng ri xia
